seed,heterogeneity_cv,budget_label,budget_fidelity,budget_cost,budget_rate,link_label,link_fidelity,link_cost,link_rate,link_feasible,rate_improvement_pct
63,0.44019544954031536,beam.span.(hop0.n2.YY+(hop1.n3.YY_XZ+(hop2.n2.YY+((hop3.n2.YY+hop4.n2.YY)+hop5.n2.YY)))),0.9000670398611879,26,6118.768004040279,link.n3.ZX_YY,0.909413747414012,36,4232.835635667819,True,44.55482165385132
64,0.6210408108306508,"beam.span.((((hop0.n2.XZ+(hop1.n2.XZ+hop2.n2.XZ))+pump[ZX](hop3.n2.YY,hop3.n2.YY))+pump[ZX](hop4.n2.YY,hop4.n2.YY))+pump[YY](hop5.n2.XZ,hop5.n3.XZ_XZ))",0.900306846725432,38,2760.5218313867904,link.n3.XZ_YY,0.9357633181096395,36,2125.714788105198,True,29.863227505108615
65,0.460050083824695,beam.span.(((hop0.n2.YY+(hop1.n2.YY+hop2.n2.YY))+(hop3.n3.ZX_YY+hop4.n2.YY))+hop5.n3.XZ_YY),0.9008077598322948,28,5776.036573018132,link.n3.YY_XZ,0.9177646755424076,36,4014.7074760079395,True,43.871916136753896
66,0.6960252635392563,"beam.span.(((((hop0.n2.YY+hop1.n2.YY)+hop2.n3.XZ_YY)+hop3.n3.XZ_YY)+pump[YY](hop4.n2.XZ,hop4.n2.XZ))+pump[XZ](hop5.n3.ZX_YY,hop5.n3.XZ_XZ))",0.9022427396072168,40,2323.087172296515,link.n3.XZ_YY,0.9262006740775756,36,2010.1405750821298,True,15.568393628470423
67,0.5902877083864861,"beam.span.(pump[ZX](hop0.n2.YY,hop0.n3.YY_YY)+(pump[YY](hop1.n2.XZ,hop1.n2.XZ)+(pump[YY]((hop2+hop3),(hop2+hop3))+(hop4.n2.YY+hop5.n2.YY))))",0.9023666037851206,34,3222.098209781661,link.n3.YY_XZ,0.9063315887420648,36,3071.1238978110223,True,4.915930356253195
68,0.48588291838672354,"beam.span.(pump[ZX](hop0.n2.YY,hop0.n2.YY)+(pump[ZX](hop1.n2.YY,hop1.n3.YY_YY)+(pump[ZX](hop2.n2.YY,hop2.n2.YY)+((hop3.n2.XZ+hop4.n2.XZ)+hop5.n2.XZ))))",0.901058963813826,38,3123.969520482369,link.n3.XZ_YY,0.9339273443063663,36,2778.7732880972594,True,12.422612303916281
69,0.5687175401030389,"beam.span.(pump[ZX](hop0.n2.YY,hop0.n2.YY)+(((hop1.n2.YY+(hop2.n2.YY+hop3.n2.YY))+hop4.n3.XZ_YY)+hop5.n3.XZ_YY))",0.9002178989414409,32,3693.9559195349184,link.n3.XZ_YY,0.9354123719197813,36,2642.6053915788166,True,39.784620560695046
70,0.2859048307764017,beam.span.(((hop0.n2.YY+hop1.n2.YY)+(hop2.n2.YY+(hop3.n2.YY+hop4.n2.YY)))+hop5.n3.YY_XZ),0.900599832404998,26,5138.064427263008,link.n3.ZX_YY,0.9105024508368219,36,3599.849729473894,True,42.729969676093084
71,0.511918859211907,"beam.span.(pump[ZX](hop0.n2.YY,hop0.n2.YY)+(hop1.n3.ZX_YY+(hop2.n2.YY+(hop3.n2.YY+(hop4.n2.YY+hop5.n2.YY)))))",0.9009855830651262,30,5808.901106533668,link.n3.YY_XZ,0.921143136443863,36,3929.978063364209,True,47.81001351343499
72,0.4765459529615233,"beam.span.(((hop0.n2.YY+(hop1.n2.YY+(hop2.n2.YY+hop3.n2.YY)))+hop4.n2.YY)+pump[YY](hop5.n2.XZ,hop5.n2.XZ))",0.9009429338025203,28,4680.654476777473,link.n3.YY_XZ,0.9224618574137886,36,3331.6536521275993,True,40.4904280427949
