label,role,resource_cost,fidelity,success_prob,rate,pareto_f_vs_c,pareto_f_vs_r
link.n4.YY_ZX_ZX,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.YY_XZ_YY,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.YY_XZ_XZ,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.ZX_YY_ZX,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.ZX_YY_XZ,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.ZX_ZX_YY,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.ZX_ZX_ZX,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.XZ_YY_ZX,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.XZ_YY_XZ,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.XZ_XZ_YY,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
link.n4.XZ_XZ_XZ,link_level_baseline,48,0.9600158069484885,0.6441589989235139,10735.983315391899,True,True
end_optimistic.n6.YY_YY_YY_YY_YY,other,72,0.8024574132030818,0.6288954227837933,10481.590379729887,False,False
link.n6.YY_YY_YY_YY_YY,link_level_baseline,72,0.8073958311028238,0.6187922808406761,10313.204680677934,False,False
end_optimistic.n7.YY_YY_YY_YY_YY_YY,other,84,0.7781507749026045,0.5821140019298199,9701.900032163665,False,False
end_optimistic.n5.ZX_ZX_ZX_ZX,other,60,0.9542958557872127,0.5812154889402288,9686.92481567048,False,False
end_optimistic.n5.YY_ZX_YY_XZ,other,60,0.9542958557872127,0.5812154889402288,9686.92481567048,False,False
end_optimistic.n5.XZ_XZ_XZ_XZ,other,60,0.9542958557872127,0.5812154889402288,9686.92481567048,False,False
flexible_paper,paper_baseline,60,0.958952240516438,0.5764895344572065,9608.158907620109,False,False
link.n7.YY_YY_YY_YY_YY_YY,link_level_baseline,84,0.7834562048868724,0.5712186370524279,9520.310617540465,False,False
link.n5.ZX_ZX_ZX_ZX,link_level_baseline,60,0.96026797730724,0.5709351684349223,9515.586140582038,True,True
link.n5.YY_ZX_YY_XZ,link_level_baseline,60,0.96026797730724,0.5709351684349223,9515.586140582038,True,True
link.n5.XZ_XZ_XZ_XZ,link_level_baseline,60,0.96026797730724,0.5709351684349223,9515.586140582038,True,True
end_optimistic.n6.ZX_ZX_ZX_ZX_ZX,other,72,0.9544767616913464,0.516308838529114,8605.147308818567,False,False
end_optimistic.n6.XZ_XZ_XZ_XZ_XZ,other,72,0.9544767616913464,0.516308838529114,8605.147308818567,False,False
end_optimistic.n6.YY_ZX_YY_XZ_YY,other,72,0.9544767616913464,0.516308838529114,8605.147308818567,False,False
link.n6.ZX_ZX_ZX_ZX_ZX,link_level_baseline,72,0.9602731388722706,0.5061697773244016,8436.162955406693,True,True
link.n6.XZ_XZ_XZ_XZ_XZ,link_level_baseline,72,0.9602731388722706,0.5061697773244016,8436.162955406693,True,True
link.n6.YY_ZX_YY_XZ_YY,link_level_baseline,72,0.9602731388722706,0.5061697773244016,8436.162955406693,True,True
end_optimistic.n7.ZX_ZX_ZX_ZX_ZX_ZX,other,84,0.9545494822359093,0.4587012436506582,7645.02072751097,False,False
end_optimistic.n7.YY_ZX_YY_XZ_YY_ZX,other,84,0.9545494822359093,0.4587012436506582,7645.02072751097,False,False
end_optimistic.n7.XZ_XZ_XZ_XZ_XZ_XZ,other,84,0.9545494822359093,0.4587012436506582,7645.02072751097,False,False
link.n7.ZX_ZX_ZX_ZX_ZX_ZX,link_level_baseline,84,0.9602748779190081,0.4487527963208365,7479.213272013941,True,True
link.n7.YY_ZX_YY_XZ_YY_ZX,link_level_baseline,84,0.9602748779190081,0.4487527963208365,7479.213272013941,True,True
link.n7.XZ_XZ_XZ_XZ_XZ_XZ,link_level_baseline,84,0.9602748779190081,0.4487527963208365,7479.213272013941,True,True
